Unnamed: 0,order_id,order_item_id,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_id,seller_city,seller_state,seller_zip_code_prefix,payment_type,payment_sequential,payment_installments,price,freight_value,payment_value,shipping_limit_date,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,day_of_purchase,month_of_purchase,year_of_purchase,month/year_of_purchase,order_status,order_unique_id
19915,ddad987b1ab585281640b4b7e7261ede,1,bcb6f8f3a9e7a98accac27e694a52d00,64c6e555131fe9cdb286bf6baba3ee89,88310,itajai,SC,656e0eca68dcecf6a31b8ececfabe3e8,informatica_acessorios,45.0,236.0,1.0,173.0,18.0,13.0,12.0,0b90b6df587eb83608a64ea8b390cf07,maringa,PR,87025,credit_card,1,6,89.8,15.38,113.77,2018-02-01 14:53:42,2018-01-22 12:22:39,2018-01-22 14:53:42,2018-01-23 22:28:37,2018-02-07 19:22:19,2018-02-21 00:00:00,Monday,January,2018,January-2018,delivered,ddad987b1ab585281640b4b7e7261ede-1
8592,66693edf9fb4880fc5049cd511a55e88,1,e619078d823bc3fa1330ec30ac0a1140,dcd4e167f75f636f80f687ae0b41254b,18608,botucatu,SP,4473f3e5c65952b074ef987fa5c24662,telefonia,59.0,776.0,6.0,350.0,17.0,4.0,12.0,ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,4160,boleto,1,1,27.99,11.85,39.84,2017-11-30 06:16:51,2017-11-24 01:07:28,2017-11-25 06:16:51,2017-11-28 21:28:58,2017-12-08 19:38:48,2017-12-14 00:00:00,Friday,November,2017,November-2017,delivered,66693edf9fb4880fc5049cd511a55e88-1
8563,056a21113c096b87e87743862452a7d3,1,7e3721f04862909bc9e85394898019f4,09b8764214c6d69d7b1bccf9148f335a,89229,joinville,SC,a2da86fa759178e9e58e54aa1a144e59,telefonia,57.0,777.0,5.0,350.0,17.0,4.0,12.0,ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,4160,credit_card,1,4,24.99,18.28,43.27,2018-06-20 17:30:40,2018-06-17 17:08:31,2018-06-17 17:38:54,2018-06-18 15:00:00,2018-06-25 18:04:01,2018-07-16 00:00:00,Sunday,June,2018,June-2018,delivered,056a21113c096b87e87743862452a7d3-1
1116,14e3b02a42f36ad7bdcdc8a0df427be3,1,178e6ac2e067591cde169461107ac469,bf67bc97810b5410358114fa589ba7d1,87020,maringa,PR,ee0c1cf2fbeae95205b4aa506f1469f0,perfumaria,44.0,334.0,1.0,200.0,16.0,16.0,13.0,cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,9015,credit_card,1,1,53.99,18.26,72.25,2018-03-16 17:40:44,2018-03-10 17:26:33,2018-03-10 18:08:26,2018-03-13 15:56:26,2018-04-04 16:22:41,2018-04-03 00:00:00,Saturday,March,2018,March-2018,delivered,14e3b02a42f36ad7bdcdc8a0df427be3-1
112165,740ca5d56791bd56068210f715589b51,1,0c0c378a0c0fbd00be4ea9cae4dd36ad,19ea2e6008a98e32959c62f5a5ac5107,9195,santo andre,SP,46e331e83e48420b6f7a8404cf204e0b,climatizacao,56.0,903.0,6.0,10050.0,35.0,28.0,16.0,56db5c0782e8f7ddc9343f9576ff6d16,palhoca,SC,88132,debit_card,1,1,559.9,39.15,599.05,2018-08-14 20:44:49,2018-08-07 20:45:25,2018-08-08 20:44:49,2018-08-09 13:28:00,2018-08-13 18:06:38,2018-08-22 00:00:00,Tuesday,August,2018,August-2018,delivered,740ca5d56791bd56068210f715589b51-1
20364,89c0fa1e0faaf0980311b9a1fbd5bb4e,1,228e2652b503dfbd248e6a13a30447e7,73c5b85fe757c062a7ccad81e81635ee,25680,petropolis,RJ,45e95fa9b4822fe9928abd8993cc37ce,informatica_acessorios,37.0,1866.0,1.0,475.0,18.0,3.0,11.0,8b28d096634035667e8263d57ba3368c,sao jose dos campos,SP,12243,boleto,1,1,69.9,16.25,86.15,2018-01-03 04:14:46,2017-12-26 11:54:41,2017-12-27 04:14:46,2017-12-27 17:44:57,2018-01-16 18:36:43,2018-01-23 00:00:00,Tuesday,December,2017,December-2017,delivered,89c0fa1e0faaf0980311b9a1fbd5bb4e-1
13765,729ae5716c0955d5e326ffd5bb91368e,1,da148107500f105263d72e4731387542,60640dacabc43827e9a28071d0b032cd,35170,coronel fabriciano,MG,679bb6cbef77322da2a4719b6d7d0a96,cool_stuff,44.0,117.0,1.0,600.0,25.0,37.0,36.0,41b39e28db005d9731d9d485a83b4c38,santo andre,SP,9220,credit_card,1,2,27.9,16.11,44.01,2017-11-21 17:26:47,2017-11-15 17:14:58,2017-11-15 17:26:47,2017-11-16 14:12:42,2017-11-22 20:17:36,2017-12-07 00:00:00,Wednesday,November,2017,November-2017,delivered,729ae5716c0955d5e326ffd5bb91368e-1
11589,f7ef6a6afaeb05b9f32f440bf4ef732f,2,5aa439f5f53153b4ba0aca0c5a39fcf6,3872dc3409c953b02afd0feda0b1d812,66053,belem,PA,a1250bbcaa645885c9165eab1573b5c6,fashion_bolsas_e_acessorios,59.0,179.0,6.0,200.0,16.0,2.0,20.0,6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,5849,credit_card,1,3,49.99,17.65,209.94,2017-10-05 20:14:17,2017-09-30 19:28:10,2017-09-30 20:14:17,2017-10-02 17:32:25,2017-10-13 17:33:17,2017-11-06 00:00:00,Saturday,September,2017,September-2017,delivered,f7ef6a6afaeb05b9f32f440bf4ef732f-2
39594,35761fa89b5d047af6632b23b0cecf01,1,018445b488e6156c2fbdf926808d7228,61baa5b648de033dc4fb874199efc3a3,1523,sao paulo,SP,84fa04b89f708a4fdfa1d828a277a150,fashion_bolsas_e_acessorios,27.0,472.0,1.0,300.0,21.0,9.0,13.0,7b07b3c7487f0ea825fc6df75abd658b,sao paulo,SP,2016,credit_card,1,1,190.0,9.7,199.7,2017-03-28 10:01:56,2017-03-22 10:01:56,2017-03-22 10:01:56,2017-03-22 15:05:26,2017-03-24 16:14:06,2017-04-10 00:00:00,Wednesday,March,2017,March-2017,delivered,35761fa89b5d047af6632b23b0cecf01-1
30817,a9383c949571ed7784f4bc07275752e9,1,e91028540517d0d7c1c12fc938abed23,1d7b4eabb382e9d9df9021a1193a46e5,12216,sao jose dos campos,SP,19c91ef95d509ea33eda93495c4d3481,beleza_saude,50.0,1257.0,1.0,700.0,25.0,12.0,19.0,06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,65072,credit_card,1,3,110.99,62.81,173.8,2018-04-03 17:27:54,2018-03-28 17:07:26,2018-03-28 17:27:54,2018-04-09 23:23:23,2018-04-19 14:42:54,2018-04-19 00:00:00,Wednesday,March,2018,March-2018,delivered,a9383c949571ed7784f4bc07275752e9-1
